source,flow_m3_per_day,size_PE,ch4_kg_per_hr,has_ad,reported_biogas_production,biogas_production_kgCH4_per_hr,biogas_measured_num,calculated_biogas_production_kgCH4_per_hr,biogas_production_used_kgCH4_per_hr,production_normalized_CH4_percent,data_availability
Guha et al. 2020,259378.0822,,229.0,yes,no,,,383.64636332177804,383.64636332177804,0.5969038726634024,Biogas production interpolated from flow
Guha et al. 2020,264791.7808,,62.0,yes,no,,,391.6537699707667,391.6537699707667,0.15830308490233025,Biogas production interpolated from flow
Guha et al. 2020,264791.7808,,80.0,yes,no,,,391.6537699707667,391.6537699707667,0.20426204503526482,Biogas production interpolated from flow
Daelman et al. 2012,88760.0,,12.583333333333334,yes,no,,,131.2849987925503,131.2849987925503,0.09584745743279367,Biogas production interpolated from flow
Galfalk et al 2022,42000.0,,10.319634704166669,yes,no,,,62.12223917628564,62.12223917628564,0.1661182024505333,Biogas production interpolated from flow
"Delre et al., 2017",19000.0,,11.875,yes,no,,,28.102917722605408,28.102917722605408,0.42255398949013734,Biogas production interpolated from flow
"Delre et al., 2017",24000.0,,8.6,yes,no,,,35.49842238644894,35.49842238644894,0.24226428730767874,Biogas production interpolated from flow
"Delre et al., 2017",30000.0,,2.9,yes,no,,,44.37302798306117,44.37302798306117,0.06535501704114124,Biogas production interpolated from flow
"Delre et al., 2017",150000.0,,14.166666666666666,yes,no,,,221.86513991530586,221.86513991530586,0.06385260285628741,Biogas production interpolated from flow
"Delre et al., 2017",12000.0,,2.733333333333333,yes,no,,,17.74921119322447,17.74921119322447,0.1539974539475167,Biogas production interpolated from flow
"Yoshida et al., 2014",46097.0,,26.02,yes,no,,,68.18211569783902,68.18211569783902,0.3816250014199058,Biogas production interpolated from flow
"Yoshida et al., 2014",46584.0,,68.52,yes,no,,,68.90243785209739,68.90243785209739,0.9944495744414977,Biogas production interpolated from flow
"Yoshida et al., 2014",46832.0,,92.26,yes,no,,,69.26925488342403,69.26925488342403,1.3319040338353287,Biogas production interpolated from flow
"Yoshida et al., 2014",48154.0,,84.42,yes,no,,,71.22462631654426,71.22462631654426,1.1852642037714796,Biogas production interpolated from flow
"Yoshida et al., 2014",51279.0,,31.7,yes,no,,,75.84681673144647,75.84681673144647,0.41794766565143165,Biogas production interpolated from flow
"Yoshida et al., 2014",59406.0,,10.55,yes,no,,,87.86747001205774,87.86747001205774,0.1200671875331367,Biogas production interpolated from flow
"Yoshida et al., 2014",69315.06849,,4.99,yes,no,,,102.52398245848573,102.52398245848573,0.04867153889599015,Biogas production interpolated from flow
"Yoshida et al., 2014",69315.06849,,6.84,yes,no,,,102.52398245848573,102.52398245848573,0.06671609740452357,Biogas production interpolated from flow
"Yoshida et al., 2014",69315.06849,,39.22,yes,no,,,102.52398245848573,102.52398245848573,0.3825446403809085,Biogas production interpolated from flow
"Fredenslund et al., 2023",,,9.39,yes,yes,466.62,466.62,,466.62,0.020123440915520124,Biogas data available
"Fredenslund et al., 2023",,1000000.0,14.52,yes,yes,445.0,445.0,,445.0,0.03262921348314607,Biogas data available
"Fredenslund et al., 2023",,300000.0,9.25,yes,yes,216.6,216.6,,216.6,0.04270544783010157,Biogas data available
"Fredenslund et al., 2023",,350000.0,17.98,yes,yes,158.5,158.5,,158.5,0.1134384858044164,Biogas data available
"Fredenslund et al., 2023",,220000.0,28.16,yes,yes,383.0,383.0,,383.0,0.07352480417754569,Biogas data available
"Fredenslund et al., 2023",,290000.0,3.58,yes,yes,107.22,107.22,,107.22,0.033389293042342845,Biogas data available
"Fredenslund et al., 2023",,420000.0,7.39,yes,yes,103.33,103.33,,103.33,0.07151843607858317,Biogas data available
"Fredenslund et al., 2023",,130000.0,4.98,yes,yes,56.0,56.0,,56.0,0.08892857142857144,Biogas data available
"Fredenslund et al., 2023",,200000.0,8.99,yes,yes,86.8,86.8,,86.8,0.10357142857142858,Biogas data available
"Fredenslund et al., 2023",,,1.6,yes,yes,14.04225,14.04225,,14.04225,0.11394185404760634,Biogas data available
"Fredenslund et al., 2023",,125000.0,5.87,yes,yes,100.75,100.75,,100.75,0.05826302729528536,Biogas data available
"Fredenslund et al., 2023",,130000.0,7.37,yes,yes,23.68,23.68,,23.68,0.3112331081081081,Biogas data available
"Fredenslund et al., 2023",,30000.0,2.27,yes,yes,20.7,20.7,,20.7,0.10966183574879228,Biogas data available
"Fredenslund et al., 2023",,100000.0,3.24,yes,yes,76.37,76.37,,76.37,0.04242503600890402,Biogas data available
"Fredenslund et al., 2023",,40000.0,1.3,yes,yes,28.31,28.31,,28.31,0.04592016955139527,Biogas data available
"Fredenslund et al., 2023",,60000.0,6.64,yes,yes,11.43,11.43,,11.43,0.5809273840769904,Biogas data available
"Fredenslund et al., 2023",,50000.0,1.98,yes,yes,28.39,28.39,,28.39,0.06974286720676294,Biogas data available
"Fredenslund et al., 2023",,26000.0,1.6,yes,yes,22.0,22.0,,22.0,0.07272727272727274,Biogas data available
"Fredenslund et al., 2023",,,3.55,yes,yes,24.74,24.74,,24.74,0.14349232012934518,Biogas data available
"Fredenslund et al., 2023",,85000.0,4.72,yes,yes,7.26,7.26,,7.26,0.650137741046832,Biogas data available
"Fredenslund et al., 2023",,,3.52,yes,yes,17.75,17.75,,17.75,0.19830985915492957,Biogas data available
"Fredenslund et al., 2023",,80000.0,6.82,yes,yes,34.13,34.13,,34.13,0.19982420158218575,Biogas data available
"Fredenslund et al., 2023",,330000.0,6.73,yes,yes,86.0,86.0,,86.0,0.07825581395348838,Biogas data available
"Fredenslund et al., 2023",,150000.0,8.95,yes,yes,41.0,41.0,,41.0,0.21829268292682924,Biogas data available
