cwns_code,facility,state,city,latitude,longitude,flow_mgd,median_ch4_kgco2e_day,median_n2o_kgco2e_day,median_co2_kgco2e_day,median_electricity_kgco2e_day,median_onsite_gas_kgco2e_day,median_upstream_gas_kgco2e_day,median_landfill_ch4_kgco2e_day,median_landapp_n2o_kgco2e_day,median_total_emission_kgco2e_day,treatment_train,flow_m3_per_day
55000010001.0,ABBOTSFORD WWTP,WI,Abbotsford,44.9421,-90.3092,0.323,413.2518771426875,54.00829386066164,46.43247087619947,91.93891852927491,0.0,0.0,0.0,43.98111848136628,649.6126788901898,['*C1'],1222.6880062320001
55001500001.0,EDGERTON STP,WI,Edgerton,42.8283,-89.0638,0.7,895.592303405205,117.0458380881212,100.6276458617326,384.403102948483,0.0,0.0,0.0,95.31511745187737,1592.984007755419,['*C1'],2649.7882488
19000921001.0,WEST UNION NORTH WWTP,IA,West Union,42.9434,-91.7825,0.85,1087.504939849177,142.1270891070043,122.1907128321039,103.6814704909608,0.0,0.0,0.0,115.7397854772796,1571.243997756526,['*C1'],3217.6000164
29001024003.0,Sedalia Central WWTP,MO,Sedalia,38.715093,-93.263924,3.03,3880.097860691457,504.5290242911639,432.7679808384636,3330.24419922316,0.0,0.0,26.95237964774951,73.30316104810814,8247.894605740103,['*A1'],11469.79770552
29004065001.0,Polo WWTP,MO,Polo,39.552,-94.0396,0.06,76.90215334077241,10.1263471033634,8.574166895981852,77.75499225119061,0.0,0.0,0.0,4.060138863926708,177.417798455235,['A1'],227.12470704
24000100001.0,POOLESVILLE STP,MD,Poolesville,39.1324,-77.3952,0.75,707.3921249336958,534.2623875680721,108.011060494966,195.0144348933884,0.0,0.0,45.88074151923433,0.0,1590.560749409357,"['A1', 'L-u']",2839.0588380000004
36002001008.0,New York (C) - Port Richmond WPCP,NY,Staten Island,40.6372,-74.1254,60.0,76575.34272156341,61139.80095818621,8597.920413431995,18152.84330258255,0.0,0.0,868.4069902152642,2361.831433476697,167696.1458194561,['*E1'],227124.70704
36003059001.0,"Orange, (Co) SD #1",NY,Harriman,41.3116,-74.1423,6.0,7683.362100379124,999.0673748339882,856.9662986900271,1455.121374469291,0.0,0.0,164.0444396086106,446.1563740506566,11604.7179620317,['*A1'],22712.470704000003
20001117002.0,HAYS WWTP,KS,Hays,38.8597,-99.3106,2.5,3198.543940732875,418.0208503147185,359.3844495061878,1302.952333664423,0.0,0.0,0.0,252.9227894158686,5531.824363634074,['*C1'],9463.52946
34004013001.0,CMCMUA - Ocean City Regional WWTF,NJ,Ocean City,39.23918585,-74.62778913,6.3,8060.330730646846,1053.412542793091,905.6488127555933,2000.053425281249,0.0,0.0,14.28410223091977,38.84888310217096,12072.57849680987,['*C1'],23848.0942392
