plant_index,state,flow_m3_per_day,median_bootstrap_all,p2_5_bootstrap_all,p97_5_bootstrap_all,mean_bootstrap_all,elec_mu_usd_per_kwh_bootstrap_all,ng_mu_usd_per_mj_bootstrap_all,median_bootstrap_biogas,p2_5_bootstrap_biogas,p97_5_bootstrap_biogas,mean_bootstrap_biogas,elec_mu_usd_per_kwh_bootstrap_biogas,ng_mu_usd_per_mj_bootstrap_biogas,median_heavy_tail,p2_5_heavy_tail,p97_5_heavy_tail,mean_heavy_tail,elec_mu_usd_per_kwh_heavy_tail,ng_mu_usd_per_mj_heavy_tail
24,CA,454249.41408,701903.1501746082,24963.587306073194,4174139.4525538394,1088387.43990882,0.1864,0.012847577090502956,360169.6165579498,98059.8935007945,2795541.7552024135,546514.068727428,0.1864,0.012847577090502956,223359.37737545656,45242.4438767811,1078436.538630537,310956.3469674941,0.1864,0.012847577090502956
25,OR,49210.353192,33309.527143355925,1075.4764665060102,196491.2134819117,51307.07859989201,0.07519999999999999,0.007286685514016603,16915.192567015016,4781.106402780657,135379.75842431892,26114.984805664328,0.07519999999999999,0.007286685514016603,10338.547405013362,2145.8056052252537,51001.048789149274,14419.197003843969,0.07519999999999999,0.007286685514016603
26,CA,43532.235516,66862.19042552936,2392.990274233948,396177.3867275596,103944.54062872172,0.1864,0.012847577090502956,34176.75888822961,9209.655361499292,277152.55041124794,53584.97273292871,0.1864,0.012847577090502956,21051.345232464235,4358.038786954058,103033.77306607296,29466.159571421224,0.1864,0.012847577090502956
27,CA,153347.03136984,238192.94804089473,7542.951886242275,1384227.0202333461,362396.08003225195,0.1864,0.012847577090502956,120876.8776505522,33017.51850768097,935245.3835373011,185511.62965729536,0.1864,0.012847577090502956,74835.61663448229,15469.9893758793,371587.9880939233,105023.2302655275,0.1864,0.012847577090502956
28,NC,242266.354176,146385.84925037326,5285.497191105428,891837.5384374241,230913.68900224686,0.07150000000000001,0.006127025037475113,76777.39480315699,21168.40743804826,626080.1123518825,120080.42485773377,0.07150000000000001,0.006127025037475113,46777.23058247214,9723.477927429096,230999.1320902054,65585.16176985709,0.07150000000000001,0.006127025037475113
29,MI,22712.470704000003,16581.70885403329,552.7848032824213,96844.35719165487,25746.619723184638,0.0816,0.007761507126458787,8569.697563662932,2384.1860165026305,67182.25686859908,13139.194960183098,0.0816,0.007761507126458787,5197.582121100334,1053.351327463248,25817.954531110216,7280.17925022464,0.0816,0.007761507126458787
30,MI,2195.53883472,1663.113066930358,57.78511244335043,9496.51693519806,2530.7938038162433,0.0816,0.007761507126458787,824.5998089993045,224.46694964762793,6569.844025575458,1279.2070767334699,0.0816,0.007761507126458787,509.6202314758782,105.88044033121774,2545.601424930573,709.6769270826272,0.0816,0.007761507126458787
31,CA,94635.2946,143708.81587560417,4979.09527198862,856185.7534528296,225310.97284790725,0.1864,0.012847577090502956,73865.0559578931,20612.408411007764,578012.3376436193,113596.62734928282,0.1864,0.012847577090502956,46120.36900320336,9398.274553182297,231698.67867351795,64293.69488540336,0.1864,0.012847577090502956
32,WI,7267.99062528,5312.108695310217,195.97180723777626,31680.231061926617,8206.257169182605,0.0868,0.006263992810294974,2710.4549687627004,730.595261492479,21725.617077914772,4155.529225194736,0.0868,0.006263992810294974,1635.438873077639,338.92181268566617,8345.82880283462,2334.599161820753,0.0868,0.006263992810294974
33,WI,49967.43554879999,35874.19811046426,1226.7597084050292,215166.22239065816,56060.370430921495,0.0868,0.006263992810294974,18590.19766626712,5098.572777984027,144446.750443919,28310.202349574727,0.0868,0.006263992810294974,11452.126765094576,2237.6595281356435,54829.347746340856,15891.221838374722,0.0868,0.006263992810294974
34,IL,155201.88314400002,106616.6890146666,3893.7967827519574,654329.9781308965,168382.7711849323,0.08199999999999999,0.00683925745613839,56677.207454547184,15387.51692966259,449236.81644716405,86314.93602064051,0.08199999999999999,0.00683925745613839,34444.99974581186,6949.434880720498,170836.31722160964,48279.610819122834,0.08199999999999999,0.00683925745613839
35,WA,154823.3419656,103793.30225112448,3695.576219141916,633066.2725803189,164830.5967649884,0.0635,0.010391288364600118,54082.75155624344,14898.44151103592,430473.9286542042,83422.03907379149,0.0635,0.010391288364600118,33028.80448839007,6654.678811925917,167932.76509600555,46377.79648742982,0.0635,0.010391288364600118
36,CA,89714.2592808,140194.48569084963,4996.291216771597,821739.5917683792,214000.93897118053,0.1864,0.012847577090502956,71667.97979795819,19651.917263978117,572063.1954689896,111858.49557145873,0.1864,0.012847577090502956,43960.67172728073,8790.352814279728,218895.03780110856,61022.99119068964,0.1864,0.012847577090502956
37,CA,11356.235352000002,17838.349132619995,655.2295060969951,102080.32510730567,26946.444150589872,0.1864,0.012847577090502956,8966.355175581946,2376.803120231241,72405.5628164261,13897.455475882074,0.1864,0.012847577090502956,5537.127139495136,1147.578711145543,27590.055871095527,7770.788053783388,0.1864,0.012847577090502956
38,NY,151416.47136,104303.10314599806,3700.075027747783,610560.8214933943,159971.90934776497,0.0687,0.009496432248843693,53709.2308161905,14549.772415968815,430388.9229737211,82548.39858801384,0.0687,0.009496432248843693,33505.52635675631,6813.405599626459,165349.517933692,46416.592447064926,0.0687,0.009496432248843693
39,OR,20819.764812,14420.546461434078,528.7329204445253,82304.5486794731,21805.8202761645,0.07519999999999999,0.007286685514016603,7161.085748831067,1932.4204789224448,57504.10158545078,11134.125934677473,0.07519999999999999,0.007286685514016603,4462.773445927125,868.2741762868795,22158.252061747044,6241.69257819685,0.07519999999999999,0.007286685514016603
40,OR,64352.00032800001,44072.74878109828,1622.8684461845523,254364.73254591567,67402.59387283881,0.07519999999999999,0.007286685514016603,22415.649808234157,6017.435192438305,180606.23189395506,34601.952694298074,0.07519999999999999,0.007286685514016603,13800.999520305271,2758.555807017152,69752.8829810398,19256.543784072106,0.07519999999999999,0.007286685514016603
41,UT,283905.8838,197422.29240060574,7086.609364425462,1170687.6755469553,306304.772708208,0.0699,0.009122053669802739,100616.27093430691,27691.715981553985,795658.5460951901,154132.00171144647,0.0699,0.009122053669802739,62015.078977310084,12275.492448985573,305401.51368306,85618.41404587554,0.0699,0.009122053669802739
42,CA,378541.1784,585866.5659929423,20265.85339306523,3468721.657184136,900805.8342172959,0.1864,0.012847577090502956,300175.79995515797,82399.22713083183,2420957.8252489213,467037.95623781736,0.1864,0.012847577090502956,183685.3057628167,35743.50174333763,888790.3530161645,256227.73810504118,0.1864,0.012847577090502956
43,CA,75708.23568,117329.82782703216,3904.4321746498686,689515.8315441405,180775.03377410935,0.1864,0.012847577090502956,59682.62465042881,16335.529026958391,473978.7465464859,91407.65717308522,0.1864,0.012847577090502956,36533.09911109981,7478.386706567016,182736.72187305585,51665.88108555061,0.1864,0.012847577090502956
44,WI,4883.18120136,3677.649647030774,127.71497121282985,20762.821249418488,5521.696146125543,0.0868,0.006263992810294974,1826.9577287718034,492.9573536287305,14548.512318133791,2821.7589517564857,0.0868,0.006263992810294974,1110.7267830510075,219.46053255241313,5606.432769365522,1550.288359793932,0.0868,0.006263992810294974
