cwns_code,facility,state,city,latitude,longitude,flow_mgd,median_ch4_kgco2e_day,median_n2o_kgco2e_day,median_co2_kgco2e_day,median_electricity_kgco2e_day,median_onsite_gas_kgco2e_day,median_upstream_gas_kgco2e_day,median_landfill_ch4_kgco2e_day,median_landapp_n2o_kgco2e_day,median_total_emission_kgco2e_day,treatment_train,flow_m3_per_day
6009011001.0,Encina Water Pollution Control Facility,CA,Carlsbad,33.1188,-117.3235,40.51,51838.4699043922,6627.307977569209,5797.523011435248,9487.6831951384,0.0,0.0,242.3025520156556,3337.394348587415,77330.68098913813,['*C1e'],153347.03136984
37006001002.0,MCALPINE CREEK WWTP,NC,Pineville,35.068738,-80.872449,64.0,83164.55012640441,63695.5501272453,9276.42685599708,40256.28069823682,0.0,0.0,741.6187788649705,4624.515412939181,201758.9419996878,['*E1e'],242266.35417600002
26000032001.0,DELTA TWP WWTP,MI,Lansing,42.7556,-84.6554,6.0,7742.457933554771,1011.51906371708,861.7945879364481,3288.486316740825,0.0,0.0,750.981811601016,0.0,13655.23971355014,['*A1e'],22712.470704000003
26000718001.0,DEXTER STP,MI,Dexter,42.341,-83.8878,0.58,742.194829537089,94.88616704493067,83.00576022296825,286.2685715619284,0.0,0.0,72.59490845476489,0.0,1278.950236821681,['*C1e'],2195.53883472
6004009006.0,LACSD (Long Beach WRP),CA,Long Beach,33.8042,-118.0882,25.0,32469.50271794422,22464.57165932302,3552.260592785175,13631.5588441224,0.0,0.0,444.2997024700715,1208.374661882949,73770.56817852784,['F1e'],94635.29460000001
55000220001.0,ASHLAND STP,WI,Ashland,46.5951,-90.8497,1.92,2482.067053576283,321.3337159488889,274.8893075203009,481.6800808326931,0.0,0.0,0.0,129.9244436456547,3689.89460152382,['A1e'],7267.99062528
55000440001.0,BELOIT WWTP,WI,Beloit,42.496593,-89.041486,13.2,17152.68846357091,13137.20721374434,1913.263039049398,7309.569219435225,0.0,0.0,0.0,1797.370786235402,41310.09872203527,['*E1e'],49967.43554879999
17000407001.0,Decatur Sanitary District,IL,Decatur,39.84,-89.0009,41.0,53277.28992472783,40804.96180026652,5942.71095462313,15740.94660115743,0.0,0.0,0.0,1938.071056992231,117703.9803377671,['*E1e'],155201.88314400002
53000776007.0,Brightwater Treatment Plant,WA,Woodinville,47.792,-122.1425,40.9,53120.10644655673,36752.03923465246,5811.498329796545,5938.703480359159,0.0,0.0,0.0,1291.476956836151,102913.824448201,['F1e'],154823.3419656
6002038001.0,Fairfield-Suisun Sewer District,CA,Fairfield,38.2203,-122.0803,23.7,30582.70883754135,3995.500301682465,3404.08862234897,3714.085285033732,0.0,0.0,394.8622465753425,1073.91819315468,43165.16348633654,['*A1e'],89714.2592808
